Sr. No,All India,Choice Code,Institute Name,Course Name,Merit Exam,Type,Seat Type
65,71216 (34.9375047),0126824210,"01268 - Siddhivinayak Technical Campus, School of Engineering & Research",Computer Science and,JEE,AI to AI,AI
"",,,"Technology, Shirasgon, Nile",Engineering,,,
66,80887 (23.1926472),0126837210,"01268 - Siddhivinayak Technical Campus, School of Engineering & Research",Electronics and,JEE,AI to AI,AI
"",,,"Technology, Shirasgon, Nile",Telecommunication Engg,,,
67,88531 (8.6286825),0126861210,"01268 - Siddhivinayak Technical Campus, School of Engineering & Research",Mechanical Engineering,JEE,AI to AI,AI
"",,,"Technology, Shirasgon, Nile",,,,
68,77851 (27.1374929),0126899510,"01268 - Siddhivinayak Technical Campus, School of Engineering & Research",Artificial Intelligence and,JEE,AI to AI,AI
"",,,"Technology, Shirasgon, Nile",Data Science,,,
69,79236 (25.4639506),0127624510,"01276 - Manav School of Engineering & Technology, Gut No. 1035 Nagpur",Computer Engineering,JEE,AI to AI,AI
"",,,"Surat Highway, NH No. 6 Tal.Vyala, Balapur, Akola,  444302",,,,
70,173867 (25.0606208),0127629310,"01276 - Manav School of Engineering & Technology, Gut No. 1035 Nagpur",Electrical Engineering,MHT-CET,AI to AI,AI
"",,,"Surat Highway, NH No. 6 Tal.Vyala, Balapur, Akola,  444302",,,,
Sr. No,All India,Choice Code,Institute Name,Course Name,Merit Exam,Type,Seat Type
"",Merit,,,,,,
71,19280 (81.1433935),0203290410,"02032 - Institute of Chemical Technology, Mumbai Marathwada off campus,",Chemical Engineering,JEE,AI to AI,AI
"",,,Jalna,,,,
72,151891 (47.9842799),0211119110,"02111 - Everest Education Society, Group of Institutions (Integrated Campus),",Civil Engineering,MHT-CET,AI to AI,AI
"",,,Ohar,,,,
73,83551 (18.8896018),0211124210,"02111 - Everest Education Society, Group of Institutions (Integrated Campus),",Computer Science and,JEE,AI to AI,AI
"",,,Ohar,Engineering,,,
74,188826 (1.8070756),0211192110,"02111 - Everest Education Society, Group of Institutions (Integrated Campus),",Artificial Intelligence and,MHT-CET,AI to AI,AI
"",,,Ohar,Machine Learning,,,
75,73623 (32.6240189),0211199510,"02111 - Everest Education Society, Group of Institutions (Integrated Campus),",Artificial Intelligence and,JEE,MH to AI,LOPENO
"",,,Ohar,Data Science,,,
76,73356 (32.8713018),0211219110,"02112 - Shree Yash Pratishthan, Shreeyash College of Engineering and",Civil Engineering,JEE,AI to AI,AI
"",,,"Technology, Aurangabad",,,,
77,54770 (50.8994387),0211224210,"02112 - Shree Yash Pratishthan, Shreeyash College of Engineering and",Computer Science and,JEE,AI to AI,AI
"",,,"Technology, Aurangabad",Engineering,,,
78,76175 (29.5595094),0211229310,"02112 - Shree Yash Pratishthan, Shreeyash College of Engineering and",Electrical Engineering,JEE,AI to AI,AI
"",,,"Technology, Aurangabad",,,,
79,75984 (29.7188447),0211261210,"02112 - Shree Yash Pratishthan, Shreeyash College of Engineering and",Mechanical Engineering,JEE,AI to AI,AI
"",,,"Technology, Aurangabad",,,,
80,67459 (39.3011281),0211284410,"02112 - Shree Yash Pratishthan, Shreeyash College of Engineering and",Electronics and Computer,JEE,AI to AI,AI
"",,,"Technology, Aurangabad",Engineering,,,
81,57557 (48.2928590),0211291110,"02112 - Shree Yash Pratishthan, Shreeyash College of Engineering and",Computer Science and,JEE,AI to AI,AI
"",,,"Technology, Aurangabad",Engineering(Artificial,,,
82,55556 (50.1308778),0211291210,"02112 - Shree Yash Pratishthan, Shreeyash College of Engineering and",Computer Science and,JEE,AI to AI,AI
"",,,"Technology, Aurangabad",Engineering(Data Science),,,
83,109877 (79.7465759),0211292910,"02112 - Shree Yash Pratishthan, Shreeyash College of Engineering and",VLSI,MHT-CET,AI to AI,AI
"",,,"Technology, Aurangabad",,,,
84,182985 (12.6044134),0211293210,"02112 - Shree Yash Pratishthan, Shreeyash College of Engineering and",5G,MHT-CET,AI to AI,AI
"",,,"Technology, Aurangabad",,,,
Sr. No,All India,Choice Code,Institute Name,Course Name,Merit Exam,Type,Seat Type
"",Merit,,,,,,
85,56740 (51.4671199),0211301110,"02113 - G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Agricultural Engineering,JEE(Main)-2024,AI to AI,AI
86,74638 (35.0585888),0211301110,"02113 - G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Agricultural Engineering,NEET-2024,AI to AI,AI
87,38915 (64.2467682),0211319110,"02113 - G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Civil Engineering,JEE,AI to AI,AI
88,26479 (74.5994626),0211324210,"02113 - G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Computer Science and,JEE,AI to AI,AI
"",,,,Engineering,,,
89,31995 (70.0821202),0211325710,"02113 - G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Computer Science and,JEE,AI to AI,AI
"",,,,Design,,,
90,23093 (77.7245028),0211326310,"02113 - G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Artificial Intelligence (AI),JEE,AI to AI,AI
"",,,,and Data Science,,,
91,43072 (60.8949481),0211329310,"02113 - G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Electrical Engineering,JEE,AI to AI,AI
92,31352 (70.5810506),0211337210,"02113 - G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Electronics and,JEE,AI to AI,AI
"",,,,Telecommunication Engg,,,
93,64102 (42.4493618),0211350110,"02113 - G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Plastic and Polymer,JEE,MH to AI,GOBCO
"",,,,Engineering,,,
94,90171 (3.4711992),0211350110,"02113 - G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Plastic and Polymer,JEE,MH to AI,GSTO
"",,,,Engineering,,,
95,58057 (48.0088741),0211361210,"02113 - G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Mechanical Engineering,JEE,AI to AI,AI
96,45941 (58.5234498),0211362410,"02113 - G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Mechatronics Engineering,JEE,AI to AI,AI
97,70469 (36.0493995),0211419110,"02114 - Deogiri Institute of Engineering and Management Studies, Aurangabad",Civil Engineering,JEE,AI to AI,AI
98,11045 (88.6913832),0211424210,"02114 - Deogiri Institute of Engineering and Management Studies, Aurangabad",Computer Science and,JEE,AI to AI,AI
"",,,,Engineering,,,
Sr. No,All India,Choice Code,Institute Name,Course Name,Merit Exam,Type,Seat Type
"",Merit,,,,,,
99,38813 (64.3362689),0211437210,"02114 - Deogiri Institute of Engineering and Management Studies, Aurangabad",Electronics and,JEE,AI to AI,AI
"",,,,Telecommunication Engg,,,
100,61026 (45.3902963),0211461210,"02114 - Deogiri Institute of Engineering and Management Studies, Aurangabad",Mechanical Engineering,JEE,AI to AI,AI
101,15708 (84.3965965),0211491110,"02114 - Deogiri Institute of Engineering and Management Studies, Aurangabad",Computer Science and,JEE,AI to AI,AI
"",,,,Engineering(Artificial,,,
102,64120 (42.4493618),0211624210,"02116 - Matoshri Pratishan's Group of Institutions (Integrated Campus),",Computer Science and,JEE,AI to AI,AI
"",,,"Kupsarwadi , Nanded",Engineering,,,
103,154031 (46.3188381),0211626310,"02116 - Matoshri Pratishan's Group of Institutions (Integrated Campus),",Artificial Intelligence (AI),MHT-CET,AI to AI,AI
"",,,"Kupsarwadi , Nanded",and Data Science,,,
104,75324 (30.6086486),0211637210,"02116 - Matoshri Pratishan's Group of Institutions (Integrated Campus),",Electronics and,JEE,AI to AI,AI
"",,,"Kupsarwadi , Nanded",Telecommunication Engg,,,
105,78931 (25.6893382),0211691110,"02116 - Matoshri Pratishan's Group of Institutions (Integrated Campus),",Computer Science and,JEE,AI to AI,AI
"",,,"Kupsarwadi , Nanded",Engineering(Artificial,,,
106,47023 (57.5186655),0212719110,"02127 - Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded.",Civil Engineering,JEE,AI to AI,AI
107,29294 (72.3375571),0212724210,"02127 - Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded.",Computer Science and,JEE,AI to AI,AI
"",,,,Engineering,,,
108,36840 (65.8983654),0212724610,"02127 - Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded.",Information Technology,JEE,AI to AI,AI
109,44102 (60.0334464),0212737210,"02127 - Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded.",Electronics and,JEE,AI to AI,AI
"",,,,Telecommunication Engg,,,
110,66712 (39.9447150),0212761210,"02127 - Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded.",Mechanical Engineering,JEE,AI to AI,AI
111,58910 (47.3497393),0212791610,"02127 - Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded.",Automation and Robotics,JEE,AI to AI,AI
112,41025 (62.3601588),0212792110,"02127 - Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded.",Artificial Intelligence and,JEE,AI to AI,AI
"",,,,Machine Learning,,,
Sr. No,All India,Choice Code,Institute Name,Course Name,Merit Exam,Type,Seat Type
"",Merit,,,,,,
113,20911 (79.6499068),0212924210,"02129 - M.S. Bidve Engineering College, Latur",Computer Science and,JEE,AI to AI,AI
"",,,,Engineering,,,
114,32877 (69.1638592),0212924610,"02129 - M.S. Bidve Engineering College, Latur",Information Technology,JEE,AI to AI,AI
115,70699 (35.8864488),0212929310,"02129 - M.S. Bidve Engineering College, Latur",Electrical Engineering,JEE,AI to AI,AI
116,62275 (44.1712256),0212937210,"02129 - M.S. Bidve Engineering College, Latur",Electronics and,JEE,AI to AI,AI
"",,,,Telecommunication Engg,,,
117,77362 (27.9984424),0212961210,"02129 - M.S. Bidve Engineering College, Latur",Mechanical Engineering,JEE,AI to AI,AI
118,60527 (45.6439853),0213024210,"02130 - Terna Public Charitable Trust's College of Engineering, Osmanabad",Computer Science and,JEE,AI to AI,AI
"",,,,Engineering,,,
119,85510 (15.3834749),0213037210,"02130 - Terna Public Charitable Trust's College of Engineering, Osmanabad",Electronics and,JEE,AI to AI,AI
"",,,,Telecommunication Engg,,,
120,76976 (28.4607938),0213099510,"02130 - Terna Public Charitable Trust's College of Engineering, Osmanabad",Artificial Intelligence and,JEE,AI to AI,AI
"",,,,Data Science,,,
121,73436 (32.7650665),0213324210,"02133 - Mahatma Basaweshwar Education Society's College of Engineering,",Computer Science and,JEE,AI to AI,AI
"",,,Ambejogai,Engineering,,,
122,181664 (14.1948203),0213419110,"02134 - Peoples Education Society's College of Engineering, Aurangabad",Civil Engineering,MHT-CET,AI to AI,AI
123,74603 (31.1916730),0213429310,"02134 - Peoples Education Society's College of Engineering, Aurangabad",Electrical Engineering,JEE,AI to AI,AI
124,183051 (12.5620266),0213437810,"02134 - Peoples Education Society's College of Engineering, Aurangabad",Electronics Engineering (,MHT-CET,AI to AI,AI
"",,,,VLSI Design and,,,
125,70186 (36.3198089),0213461510,"02134 - Peoples Education Society's College of Engineering, Aurangabad",Mechanical & Automation,JEE,MH to AI,GNT2H
"",,,,Engineering,,,
